Open,High,Low,Close,Inflation,CountryName,ISO3,Date
0.53,0.54,0.53,0.53,NA,Afghanistan,AFG,01-01-2007
0.53,0.54,0.53,0.53,NA,Afghanistan,AFG,01-02-2007
0.54,0.54,0.53,0.53,NA,Afghanistan,AFG,01-03-2007
0.53,0.55,0.53,0.55,NA,Afghanistan,AFG,01-04-2007
0.56,0.57,0.56,0.57,NA,Afghanistan,AFG,01-05-2007
0.59,0.6,0.58,0.58,NA,Afghanistan,AFG,01-06-2007
0.59,0.6,0.59,0.59,NA,Afghanistan,AFG,01-07-2007
0.6,0.6,0.59,0.59,NA,Afghanistan,AFG,01-08-2007
0.6,0.62,0.59,0.62,NA,Afghanistan,AFG,01-09-2007
0.64,0.64,0.63,0.63,NA,Afghanistan,AFG,01-10-2007
0.65,0.66,0.64,0.66,NA,Afghanistan,AFG,01-11-2007
0.68,0.71,0.67,0.71,NA,Afghanistan,AFG,01-12-2007
0.74,0.75,0.73,0.75,41.18,Afghanistan,AFG,01-01-2008
0.78,0.79,0.77,0.77,44.45,Afghanistan,AFG,01-02-2008
0.79,0.82,0.78,0.82,53.62,Afghanistan,AFG,01-03-2008
0.85,0.92,0.84,0.92,66.52,Afghanistan,AFG,01-04-2008
0.96,1.02,0.94,1.02,77.51,Afghanistan,AFG,01-05-2008
1.06,1.11,1.04,1.11,89.19,Afghanistan,AFG,01-06-2008
1.16,1.18,1.14,1.16,96.05,Afghanistan,AFG,01-07-2008
1.2,1.22,1.17,1.17,96.79,Afghanistan,AFG,01-08-2008
1.18,1.2,1.16,1.17,89.86,Afghanistan,AFG,01-09-2008
1.17,1.19,1.13,1.13,78.44,Afghanistan,AFG,01-10-2008
1.11,1.13,1.09,1.1,65.78,Afghanistan,AFG,01-11-2008
1.07,1.09,1.05,1.05,48.25,Afghanistan,AFG,01-12-2008
1.02,1.04,1,1.02,35.91,Afghanistan,AFG,01-01-2009
1,1.01,0.94,0.94,21.81,Afghanistan,AFG,01-02-2009
0.91,0.92,0.87,0.87,5.66,Afghanistan,AFG,01-03-2009
0.83,0.84,0.82,0.82,-10.58,Afghanistan,AFG,01-04-2009
0.79,0.81,0.78,0.81,-20.73,Afghanistan,AFG,01-05-2009
0.79,0.81,0.78,0.8,-27.36,Afghanistan,AFG,01-06-2009
0.81,0.82,0.79,0.8,-31.06,Afghanistan,AFG,01-07-2009
0.79,0.8,0.78,0.8,-31.37,Afghanistan,AFG,01-08-2009
0.81,0.82,0.8,0.81,-30.6,Afghanistan,AFG,01-09-2009
0.82,0.83,0.81,0.81,-28.85,Afghanistan,AFG,01-10-2009
0.8,0.81,0.79,0.79,-28.27,Afghanistan,AFG,01-11-2009
0.77,0.78,0.75,0.75,-28.27,Afghanistan,AFG,01-12-2009
0.73,0.74,0.72,0.72,-29.43,Afghanistan,AFG,01-01-2010
0.7,0.71,0.69,0.71,-24.68,Afghanistan,AFG,01-02-2010
0.7,0.71,0.69,0.71,-18.44,Afghanistan,AFG,01-03-2010
0.7,0.71,0.7,0.7,-15.02,Afghanistan,AFG,01-04-2010
0.69,0.7,0.68,0.7,-13.43,Afghanistan,AFG,01-05-2010
0.7,0.71,0.69,0.71,-12.04,Afghanistan,AFG,01-06-2010
0.72,0.72,0.71,0.72,-10.26,Afghanistan,AFG,01-07-2010
0.72,0.73,0.72,0.73,-8.47,Afghanistan,AFG,01-08-2010
0.75,0.76,0.74,0.76,-6.99,Afghanistan,AFG,01-09-2010
0.77,0.78,0.76,0.76,-5.99,Afghanistan,AFG,01-10-2010
0.76,0.77,0.75,0.77,-1.84,Afghanistan,AFG,01-11-2010
0.78,0.79,0.77,0.79,4.56,Afghanistan,AFG,01-12-2010
0.8,0.81,0.78,0.78,8.52,Afghanistan,AFG,01-01-2011
0.78,0.79,0.77,0.78,10.13,Afghanistan,AFG,01-02-2011
0.78,0.79,0.77,0.79,11.75,Afghanistan,AFG,01-03-2011
0.8,0.8,0.79,0.8,14.93,Afghanistan,AFG,01-04-2011
0.81,0.82,0.8,0.81,15.45,Afghanistan,AFG,01-05-2011
0.81,0.82,0.8,0.8,13.09,Afghanistan,AFG,01-06-2011
0.8,0.83,0.79,0.83,15.5,Afghanistan,AFG,01-07-2011
0.85,0.86,0.82,0.82,12.03,Afghanistan,AFG,01-08-2011
0.82,0.84,0.81,0.83,9.09,Afghanistan,AFG,01-09-2011
0.83,0.84,0.81,0.83,9.62,Afghanistan,AFG,01-10-2011
0.84,0.85,0.83,0.83,7,Afghanistan,AFG,01-11-2011
0.82,0.83,0.81,0.82,4.09,Afghanistan,AFG,01-12-2011
0.82,0.83,0.81,0.82,4.97,Afghanistan,AFG,01-01-2012
0.82,0.83,0.81,0.82,5.92,Afghanistan,AFG,01-02-2012
0.83,0.84,0.82,0.83,4.84,Afghanistan,AFG,01-03-2012
0.83,0.84,0.82,0.83,3.6,Afghanistan,AFG,01-04-2012
0.83,0.84,0.82,0.83,2.81,Afghanistan,AFG,01-05-2012
0.83,0.84,0.82,0.84,4.56,Afghanistan,AFG,01-06-2012
0.84,0.86,0.84,0.86,4.29,Afghanistan,AFG,01-07-2012
0.88,0.89,0.87,0.88,7.56,Afghanistan,AFG,01-08-2012
0.9,0.91,0.89,0.9,9.55,Afghanistan,AFG,01-09-2012
0.92,0.93,0.91,0.93,12.45,Afghanistan,AFG,01-10-2012
0.96,0.97,0.95,0.96,15.54,Afghanistan,AFG,01-11-2012
0.97,0.98,0.96,0.97,18.81,Afghanistan,AFG,01-12-2012
0.99,1,0.98,0.99,20.19,Afghanistan,AFG,01-01-2013
0.99,1,0.99,0.99,20.15,Afghanistan,AFG,01-02-2013
1,1,0.99,1,20.4,Afghanistan,AFG,01-03-2013
1,1.01,0.99,0.99,19.03,Afghanistan,AFG,01-04-2013
0.98,0.99,0.97,0.98,18.83,Afghanistan,AFG,01-05-2013
0.98,0.99,0.98,0.98,17.1,Afghanistan,AFG,01-06-2013
0.98,0.98,0.97,0.98,13.25,Afghanistan,AFG,01-07-2013
0.98,0.98,0.97,0.98,10.71,Afghanistan,AFG,01-08-2013
0.98,0.99,0.98,0.98,8.24,Afghanistan,AFG,01-09-2013
0.98,0.98,0.97,0.97,4.48,Afghanistan,AFG,01-10-2013
0.97,0.98,0.97,0.98,2.58,Afghanistan,AFG,01-11-2013
0.98,0.99,0.98,0.98,0.76,Afghanistan,AFG,01-12-2013
0.98,0.99,0.97,0.97,-1.6,Afghanistan,AFG,01-01-2014
0.96,0.97,0.96,0.97,-2.61,Afghanistan,AFG,01-02-2014
0.96,0.97,0.96,0.97,-2.43,Afghanistan,AFG,01-03-2014
0.98,0.98,0.97,0.98,-0.45,Afghanistan,AFG,01-04-2014
0.99,1,0.98,0.99,0.37,Afghanistan,AFG,01-05-2014
0.99,1,0.98,0.98,0.33,Afghanistan,AFG,01-06-2014
0.98,0.99,0.97,0.97,-1.18,Afghanistan,AFG,01-07-2014
